-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        130.1170  |        130.1157+ |     3 |      |      |  13.54582  -   23.07459 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).6p | 4D*  | 1/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        132.1270  |        132.1281+ |     3 |      |      |  17.99081  -   27.37445 | 5s2.5p2.(3P).5d | 4D   | 1/2 | 5s2.5p2.(1D).4f | 2P*  | 1/2 |    |        |  L11502  |
        132.2500  |        132.2491+ |     5 |      |      |  17.55924  -   26.93429 | 5s2.5p2.(3P).5d | 4F   | 7/2 | 5s2.5p2.(1D).6p | 2F*  | 7/2 |    |        |  L11502  |
        132.2870  |        132.2862+ |     7 |      |      |  16.49330  -   25.86572 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(3P).4f | 2F*  | 5/2 |    |        |  L11502  |
        132.8270  |        132.8270+ |     3 |      |      |  17.55924  -   26.89350 | 5s2.5p2.(3P).5d | 4F   | 7/2 | 5s2.5p2.(1D).6p | 2D*  | 5/2 |    |        |  L11502  |
        133.1810  |        133.180+  |     3 |      |      |  17.58398  -   26.89350 | 5s2.5p2.(1D).5d | 2F   | 5/2 | 5s2.5p2.(1D).6p | 2D*  | 5/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        133.3770  |        133.376+  |     3 |      |      |  17.99081  -   27.28664 | 5s2.5p2.(3P).5d | 4D   | 1/2 | 5s2.5p2.(1D).6p | 2P*  | 1/2 |    |        |  L11502  |
        133.6980  |        133.697+  |     8 |      |      |  15.11726  -   24.39078 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 2D*  | 3/2 |    |        |  L11502  |
        133.8230  |        133.823+  |     2 |      |      |  15.11726  -   24.38208 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).4f | 4D*  | 1/2 |    |        |  L11502  |
        133.8570  |        133.858+  |     9 |      |      |  17.97910  -   27.24147 | 5s2.5p2.(1D).5d | 2F   | 7/2 | 5s2.5p2.(3P).4f | 2F*  | 7/2 |    |        |  L11502  |
        134.0900  |        134.089+  |     8 |      |      |  15.11726  -   24.36365 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).4f | 4F*  | 5/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        134.4740  |        134.475+  |     7 |      |      |  16.73546  -   25.95531 | 5s2.5p2.(3P).5d | 4F   | 3/2 | 5s2.5p2.(3P).6p | 2P*  | 1/2 |    |        |  L11502  |
        134.5610  |        134.559+  |     3 |      |      |  17.58398  -   26.79807 | 5s2.5p2.(1D).5d | 2F   | 5/2 | 5s2.5p2.(1D).6p | 2D*  | 3/2 |    |        |  L11502  |
        135.0820  |        135.082+  |     8 |      |      |  16.49330  -   25.67175 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(3P).6p | 4P*  | 5/2 |    |        |  L11502  |
        135.1360  |        135.134+  |     3 |      |      |  17.55924  -   26.73415 | 5s2.5p2.(3P).5d | 4F   | 7/2 | 5s2.5p2.(1D).6p | 2F*  | 5/2 |    |        |  L11502  |
        135.1530  |        135.152+  |     6 |      |      |  17.97910  -   27.15275 | 5s2.5p2.(1D).5d | 2F   | 7/2 | 5s2.5p2.(1D).4f | 2D*  | 5/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        135.2780  |        135.277+  |     5 |      |      |  15.55688  -   24.72208 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).4f | 2D*  | 3/2 |    |        |  L11502  |
        135.3650  |        135.364+  |     2 |      |      |  18.12730  -   27.28664 | 5s2.5p2.(3P).5d | 4D   | 3/2 | 5s2.5p2.(1D).6p | 2P*  | 1/2 |    |        |  L11502  |
        135.4010  |        135.399+  |     2 |      |      |  15.11726  -   24.27420 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).4f | 4D*  | 3/2 |    |        |  L11502  |
        135.5740  |        135.573+  |     9 |      |      |  18.68904  -   27.83423 | 5s.5p4          | 2S   | 1/2 | 5s2.5p2.(1D).6p | 2P*  | 3/2 |    |        |  L11502  |
        135.8637  |        135.861+  |    10 |      |      |   4.41999  -   13.54582 | 5s2.5p3         | 2P*  | 3/2 | 5s.5p4          | 4P   | 1/2 |    |        |   L6623  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        136.1150  |        136.113+  |     8 |      |      |  15.55688  -   24.66580 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(3P).6p | 4D*  | 5/2 |    |        |  L11502  |
        136.5610  |        136.559+  |     9 |      |      |  13.25679  -   22.33594 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 4G*  | 5/2 |    |        |  L11502  |
        136.7780  |        136.777+  |     1 |      |      |  19.32466  -   28.38933 | 5s2.5p2.(3P).5d | 4D   | 7/2 | 5s2.5p2.(1S).4f | 2F*  | 7/2 |    |        |  L11502  |
        136.9240  |        136.923+  |     4 |      |      |  16.49330  -   25.54833 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(3P).6p | 2P*  | 3/2 |    |        |  L11502  |
        137.8420  |        137.841+  |     9 |      |      |  16.96058  -   25.95531 | 5s2.5p2.(3P).5d | 2P   | 1/2 | 5s2.5p2.(3P).6p | 2P*  | 1/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        138.4500  |        138.450+  |     1 |      |      |  17.97910  -   26.93429 | 5s2.5p2.(1D).5d | 2F   | 7/2 | 5s2.5p2.(1D).6p | 2F*  | 7/2 |    |        |  L11502  |
        138.5480  |        138.547+  |     9 |      |      |  16.49330  -   25.44218 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(1D).4f | 2F*  | 5/2 |    |        |  L11502  |
        138.7430  |        138.742+  |     8 |      |      |  16.73546  -   25.67175 | 5s2.5p2.(3P).5d | 4F   | 3/2 | 5s2.5p2.(3P).6p | 4P*  | 5/2 |    |        |  L11502  |
        139.0220  |        139.021+  |     6 |      |      |  15.11726  -   24.03565 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 2S*  | 1/2 |    |        |  L11502  |
        139.0610  |        139.060+  |     4 |      |      |  17.58398  -   26.49984 | 5s2.5p2.(1D).5d | 2F   | 5/2 | 5s2.5p2.(1D).4f | 2D*  | 3/2 |    |        |  L11502  |
