----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |     Rel. | Aki  | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |    Line  |
     Wavelength     |     Wavelength     |     Int. |(s^-1)|      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |          |      |      |                           | Conf.            | Term | J   | Conf.            | Term | J   |    |        |          |
         136.4977   |         136.4965+  |        3 |      |      |  15.459755  -   24.543080 | 5s2.5p3.(2D*).5d | 3F*  | 2   | 5s2.5p3.(2P*).4f | 3G   | 3   |    |        |  L10579  |
         136.6709   |         136.6698+  |        8 |      |      |  15.459755  -   24.531561 | 5s2.5p3.(2D*).5d | 3F*  | 2   | 5s2.5p3.(4S*).5f | 5F   | 2   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         137.0076   |         137.0069+  |     0.5h |      |      |  13.837307  -   22.886795 | 5s2.5p3.(4S*).5d | 5D*  | 3   | 5s2.5p3.(2P*).6p | 3D   | 3   |    |        |  L10579  |
         137.4809   |         137.4796+  |        3 |      |      |  13.868424  -   22.886795 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2P*).6p | 3D   | 3   |    |        |  L10579  |
         137.5295   |         137.5289+  |        8 |      |      |  17.127858  -   26.142997 | 5s2.5p3.(2D*).6s | 3D*  | 1   | 5p6              | 1S   | 0   |    |        |  L10579  |
         137.7722   |         137.7714+  |       10 |      |      |  14.535917  -   23.535185 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(2D*).4f | 1D   | 2   |    |        |  L10579  |
         137.8128   |         137.8114+  |        3 |      |      |  15.459755  -   24.456410 | 5s2.5p3.(2D*).5d | 3F*  | 2   | 5s2.5p3.(2P*).4f | 3F   | 2   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         138.0055   |         138.0045+  |        9 |      |      |  14.535917  -   23.519983 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(2D*).4f | 3P   | 1   |    |        |  L10579  |
         138.9129   |         138.9127+  |       11 |      |      |  12.182994  -   21.108328 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(4S*).4f | 3F   | 3   |    |        |  L10579  |
         139.1936   |         139.1929+  |        5 |      |      |  13.919927  -   22.827292 | 5s2.5p3.(4S*).5d | 5D*  | 4   | 5s2.5p3.(2D*).4f | 3G   | 5   |    |        |  L10579  |
         139.2122   |         139.2108+  |        1 |      |      |  15.636859  -   24.543080 | 5s2.5p3.(2D*).5d | 3F*  | 3   | 5s2.5p3.(2P*).4f | 3G   | 3   |    |        |  L10579  |
         139.5910   |         139.5923+  |        0 |      |      |  15.574530  -   24.456410 | 5s2.5p3.(4S*).6s | 3S*  | 1   | 5s2.5p3.(2P*).4f | 3F   | 2   |    |        |   L7270  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         139.7573   |         139.7576+  |       2u |      |      |  14.535917  -   23.407289 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(2D*).4f | 3D   | 1   |    |        |  L10579  |
         139.9271   |         139.9266+  |       4* |      |      |  15.636859  -   24.497520 | 5s2.5p3.(2D*).5d | 3F*  | 3   | 5s2.5p3.(4S*).5f | 5F   | 3   |    |        |  L10579  |
         139.9271   |         139.9284+  |       4* |      |      |  14.757347  -   23.617894 | 5s2.5p3.(2D*).5d | 1P*  | 1   | 5s2.5p3.(2P*).6p | 1S   | 0   |    |        |  L10579  |
         139.9271   |         139.9289+  |       4* |      |      |  15.459755  -   24.320270 | 5s2.5p3.(2D*).5d | 3F*  | 2   | 5s2.5p3.(2P*).4f | 3F   | 3   |    |        |  L10579  |
         140.4586   |         140.4581+  |        3 |      |      |  15.030552  -   23.857685 | 5s2.5p3.(4S*).5d | 3D*  | 3   | 5s2.5p3.(2D*).4f | 1G   | 4   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         140.4681   |         140.4676+  |        2 |      |      |  15.636859  -   24.463393 | 5s2.5p3.(2D*).5d | 3F*  | 3   | 5s2.5p3.(4S*).5f | 5F   | 4   |    |        |  L10579  |
         140.5042   |         140.5037+  |        8 |      |      |  14.535917  -   23.360180 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(2D*).4f | 3P   | 2   |    |        |  L10579  |
         140.7990   |         140.7994+  |        4 |      |      |  13.942011  -   22.747747 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2D*).4f | 1P   | 1   |    |        |  L10579  |
