----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Vac (nm)    |    Vac (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
       286.821  |       286.822  | 1.95* | 9.7e-01    | C    |   0.00000   -    4.321420 | 3s2.3p3         | 4S*  | 3/2 | 3s2.3p3         | 2P*  | 1/2 | M1    |       T761 |  L11613  |
       287.434  |       287.4335 |    10 | 7.3e+07    | D    |  31.239970  -   35.552196 | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       291.297  |       291.294  |   12w | 2.5e+08    | D    |  31.906537  -   36.16162  | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(3P).4p | 2D*  | 5/2 |       | T1619CA,LS |  L11418  |
       291.826  |       291.8244 |     9 | 1.3e+07    | E    |  31.239970  -   35.487315 | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       | T1619CA,LS |  L11418  |
       292.627  |       292.623  |    11 | 2.0e+08    | D    |  31.75084   -   35.98660  | 3s2.3p2.(3P).4s | 2P   | 1/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       | T1619CA,LS |  L11418  |
       301.615  |       301.607  |     5 |            |      |  31.75084   -   35.860433 | 3s2.3p2.(3P).4s | 2P   | 1/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       |            |   L4489  |
       303.791  |       303.790  |     9 | 3.6e+07    | E    |  31.906537  -   35.98660  | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       307.726  |       307.7268 |  8bl: |            |      |  31.906537  -   35.934402 | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       |            |  L11418  |
       313.479  |       313.484  |     9 |            |      |  31.906537  -   35.860433 | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       |            |  L11418  |
